query,reference
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-f3IhzH2JGg-Scene-002-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-f3IhzH2JGg-Scene-002-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-f3IhzH2JGg-Scene-003-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-f3IhzH2JGg-Scene-003-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-f3IhzH2JGg-Scene-004-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-f3IhzH2JGg-Scene-004-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-f3IhzH2JGg-Scene-005-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-f3IhzH2JGg-Scene-005-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-f9BZEpxd6o-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-f9BZEpxd6o-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-f9BZEpxd6o-Scene-002-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-f9BZEpxd6o-Scene-002-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-f9BZEpxd6o-Scene-003-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-f9BZEpxd6o-Scene-003-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-f9BZEpxd6o-Scene-004-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-f9BZEpxd6o-Scene-004-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-f9BZEpxd6o-Scene-005-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-f9BZEpxd6o-Scene-005-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-f9qLnOjYTE-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-f9qLnOjYTE-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-FEkEXxauAg-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-FEkEXxauAg-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-FEkEXxauAg-Scene-002-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-FEkEXxauAg-Scene-002-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-FEkEXxauAg-Scene-003-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-FEkEXxauAg-Scene-003-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-FEkEXxauAg-Scene-004-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-FEkEXxauAg-Scene-004-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-FEkEXxauAg-Scene-005-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-FEkEXxauAg-Scene-005-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-fHcW7nFI6Y-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-fHcW7nFI6Y-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-fHcW7nFI6Y-Scene-002-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-fHcW7nFI6Y-Scene-002-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-fHcW7nFI6Y-Scene-003-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-fHcW7nFI6Y-Scene-003-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-fHcW7nFI6Y-Scene-004-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-fHcW7nFI6Y-Scene-004-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-fHcW7nFI6Y-Scene-005-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-fHcW7nFI6Y-Scene-005-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-fILIHStH4Y-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-fILIHStH4Y-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-fILIHStH4Y-Scene-002-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-fILIHStH4Y-Scene-002-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-fILIHStH4Y-Scene-003-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-fILIHStH4Y-Scene-003-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-fILIHStH4Y-Scene-004-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-fILIHStH4Y-Scene-004-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-fILIHStH4Y-Scene-005-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-fILIHStH4Y-Scene-005-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-fjTkFX6MCI-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-fjTkFX6MCI-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-flJNE26nok-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-flJNE26nok-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-flJNE26nok-Scene-002-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-flJNE26nok-Scene-002-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-flJNE26nok-Scene-003-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-flJNE26nok-Scene-003-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-flJNE26nok-Scene-004-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-flJNE26nok-Scene-004-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-flJNE26nok-Scene-005-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-flJNE26nok-Scene-005-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-FOEpil_hBQ-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-FOEpil_hBQ-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-FOEpil_hBQ-Scene-002-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-FOEpil_hBQ-Scene-002-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-FOEpil_hBQ-Scene-004-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-FOEpil_hBQ-Scene-004-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-FovZVUiCNE-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-FovZVUiCNE-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-FqFZI86-FA-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-FqFZI86-FA-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-FRi1l8eeQs-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-FRi1l8eeQs-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-FRi1l8eeQs-Scene-002-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-FRi1l8eeQs-Scene-002-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-FRi1l8eeQs-Scene-003-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-FRi1l8eeQs-Scene-003-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-FRi1l8eeQs-Scene-004-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-FRi1l8eeQs-Scene-004-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-FRi1l8eeQs-Scene-005-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-FRi1l8eeQs-Scene-005-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-frXcgK5rHc-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-frXcgK5rHc-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-frXcgK5rHc-Scene-002-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-frXcgK5rHc-Scene-002-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-frXcgK5rHc-Scene-003-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-frXcgK5rHc-Scene-003-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-frXcgK5rHc-Scene-005-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-frXcgK5rHc-Scene-005-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-fsddFrbRHQ-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-fsddFrbRHQ-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-fT3zOhZ92Y-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-fT3zOhZ92Y-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-fT3zOhZ92Y-Scene-002-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-fT3zOhZ92Y-Scene-002-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-fT3zOhZ92Y-Scene-003-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-fT3zOhZ92Y-Scene-003-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-fT3zOhZ92Y-Scene-004-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-fT3zOhZ92Y-Scene-004-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-fT3zOhZ92Y-Scene-005-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-fT3zOhZ92Y-Scene-005-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-ftJSI91kWo-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-ftJSI91kWo-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-ftJSI91kWo-Scene-002-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-ftJSI91kWo-Scene-002-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-ftJSI91kWo-Scene-003-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-ftJSI91kWo-Scene-003-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-ftJSI91kWo-Scene-004-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-ftJSI91kWo-Scene-004-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-ftJSI91kWo-Scene-005-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-ftJSI91kWo-Scene-005-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-fUygTedlj4-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-fUygTedlj4-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-fUygTedlj4-Scene-002-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-fUygTedlj4-Scene-002-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-fUygTedlj4-Scene-003-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-fUygTedlj4-Scene-003-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-fUygTedlj4-Scene-004-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-fUygTedlj4-Scene-004-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-fUygTedlj4-Scene-005-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-fUygTedlj4-Scene-005-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-FwKE2F3C2c-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-FwKE2F3C2c-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-FwKE2F3C2c-Scene-002-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-FwKE2F3C2c-Scene-002-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-FwKE2F3C2c-Scene-003-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-FwKE2F3C2c-Scene-003-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-FwKE2F3C2c-Scene-004-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-FwKE2F3C2c-Scene-004-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-FwKE2F3C2c-Scene-005-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-FwKE2F3C2c-Scene-005-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-Fwq8dCELUo-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-Fwq8dCELUo-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-FwwyT_s9BY-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-FwwyT_s9BY-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-fXnb13-Dkg-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-fXnb13-Dkg-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-fxYLgalUsk-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-fxYLgalUsk-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-fxYLgalUsk-Scene-002-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-fxYLgalUsk-Scene-002-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-fxYLgalUsk-Scene-003-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-fxYLgalUsk-Scene-003-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-fxYLgalUsk-Scene-004-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-fxYLgalUsk-Scene-004-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_02/-fxYLgalUsk-Scene-005-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-fxYLgalUsk-Scene-005-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-FyY4MGFKfE-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-FyY4MGFKfE-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-FyY4MGFKfE-Scene-002-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-FyY4MGFKfE-Scene-002-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-FyY4MGFKfE-Scene-003-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-FyY4MGFKfE-Scene-003-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-FyY4MGFKfE-Scene-004-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-FyY4MGFKfE-Scene-004-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-FyY4MGFKfE-Scene-005-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-FyY4MGFKfE-Scene-005-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-F_Yi3-SBE4-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-F_Yi3-SBE4-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-F_Yi3-SBE4-Scene-002-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-F_Yi3-SBE4-Scene-002-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-F_Yi3-SBE4-Scene-003-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-F_Yi3-SBE4-Scene-003-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-F_Yi3-SBE4-Scene-004-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-F_Yi3-SBE4-Scene-004-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-F_Yi3-SBE4-Scene-005-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-F_Yi3-SBE4-Scene-005-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-G-0iUj7d0s-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-G-0iUj7d0s-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-G-0iUj7d0s-Scene-003-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-G-0iUj7d0s-Scene-003-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-G-0iUj7d0s-Scene-004-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-G-0iUj7d0s-Scene-004-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-G1OT5gzb48-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-G1OT5gzb48-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-G1OT5gzb48-Scene-002-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-G1OT5gzb48-Scene-002-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-G1OT5gzb48-Scene-003-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-G1OT5gzb48-Scene-003-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-G1OT5gzb48-Scene-004-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-G1OT5gzb48-Scene-004-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-G1OT5gzb48-Scene-005-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-G1OT5gzb48-Scene-005-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-G1SjJDzb7Y-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-G1SjJDzb7Y-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-G2cZV4XK-s-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-G2cZV4XK-s-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-g4kO9cEvUQ-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-g4kO9cEvUQ-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-G5nRvfqe9Q-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-G5nRvfqe9Q-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-G5nRvfqe9Q-Scene-002-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-G5nRvfqe9Q-Scene-002-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-G5nRvfqe9Q-Scene-004-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-G5nRvfqe9Q-Scene-004-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-G5nRvfqe9Q-Scene-005-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-G5nRvfqe9Q-Scene-005-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-G5ocOuaknU-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-G5ocOuaknU-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-G5ocOuaknU-Scene-002-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-G5ocOuaknU-Scene-002-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-G5ocOuaknU-Scene-003-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-G5ocOuaknU-Scene-003-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-G5ocOuaknU-Scene-004-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-G5ocOuaknU-Scene-004-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/Brightness_01/-G5ocOuaknU-Scene-005-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-G5ocOuaknU-Scene-005-01.jpg
