Q50017,R277156
Q52197,R653421
Q52198,R083396
Q52200,R902693
Q52202,R694565
Q52210,R245177
Q52211,R105511
Q52214,R476272
Q52215,R400136
Q52223,R010005
Q52230,R519985
Q52231,R250960
Q52236,R905959
Q52237,R904592
Q52245,R841405
Q52251,R346592
Q52252,R813211
Q52260,R990815
Q52261,R323908
Q52262,R909740
Q52265,R288834
Q52266,R247801
Q52268,R136384
Q52272,R674837
Q52286,R691172
Q52289,R703513
Q52291,R110537
Q52292,R306071
Q52295,R324415
Q52308,R983620
Q52310,R227276
Q52311,R645932
Q52312,R335900
Q52313,R719917
Q52316,R500254
Q52330,R838914
Q52333,R070020
Q52334,R262703
Q52342,R237305
Q52348,R041312
Q52352,R664181
Q52353,R048505
Q52373,R739879
Q52398,R119282
Q52399,R811851
Q52410,R561221
Q52413,R671569
Q52414,R524972
Q52415,R451069
Q52417,R252169
Q52427,R070814
Q52439,R879759
Q52443,R031479
Q52444,R168421
Q52450,R562452
Q52451,R395045
Q52452,R846551
Q52454,R810984
Q52455,R106879
Q52456,R672317
Q52457,R046140
Q52466,R601741
Q52472,R370893
Q52475,R385637
Q52478,R748068
Q52485,R226387
Q52487,R418552
Q52489,R499325
Q52490,R795806
Q52495,R970628
Q52502,R327605
Q52520,R995919
Q52530,R050638
Q52536,R922698
Q52540,R104189
Q52547,R894052
Q52562,R506518
Q52570,R834192
Q52574,R270349
Q52579,R000260
Q52581,R310097
Q52588,R583145
Q52593,R107241
Q52596,R808315
Q52601,R277140
Q52605,R178322
Q52619,R013642
Q52623,R668857
Q52628,R108895
Q52629,R025854
Q52637,R773821
Q52649,R856736
Q52656,R062946
Q52666,R123156
Q52675,R180452
Q52694,R275850
Q52704,R298334
Q52717,R605346
Q52719,R484636
Q52724,R249080
Q52732,R348983
Q52746,R100652
Q52747,R729877
Q52759,R418793
Q52762,R865419
Q52770,R768878
Q52774,R972377
Q52775,R623581
Q52779,R423650
Q52781,R311651
Q52785,R041520
Q52788,R855225
Q52798,R645189
Q52808,R878596
Q52810,R205757
Q52816,R144855
Q52822,R892923
Q52829,R154053
Q52836,R816482
Q52864,R191265
Q52867,R363988
Q52868,R946939
Q52879,R964314
Q52880,R971763
Q52881,R142982
Q52886,R338933
Q52888,R451826
Q52895,R252484
Q52905,R237729
Q52906,R731597
Q52915,R084557
Q52922,R757461
Q52925,R719832
Q52928,R095569
Q52932,R078111
Q52935,R022102
Q52938,R617352
Q52942,R017910
Q52946,R862825
Q52952,R878233
Q52954,R692792
Q52962,R284672
Q52966,R919748
Q52976,R819414
Q52980,R241341
Q52992,R291329
Q52995,R378608
Q53008,R656431
Q53012,R821619
Q53015,R009151
Q53025,R707957
Q53027,R680036
Q53032,R023323
Q53035,R060719
Q53045,R224210
Q53051,R778072
Q53052,R069470
Q53055,R446301
Q53063,R610298
Q53067,R148455
Q53074,R140747
Q53075,R959545
Q53079,R451203
Q53087,R629181
Q53096,R764055
Q53100,R555943
Q53106,R087823
Q53110,R090484
Q53113,R650358
Q53121,R924622
Q53122,R328668
Q53124,R246038
Q53125,R079147
Q53129,R056804
Q53131,R154951
Q53132,R939271
Q53141,R817434
Q53144,R228806
Q53145,R534408
Q53147,R136893
Q53149,R520443
Q53152,R681800
Q53154,R002239
Q53181,R720575
Q53183,R158077
Q53184,R906539
Q53195,R284524
Q53197,R078223
Q53203,R118036
Q53205,R982433
Q53208,R254375
Q53211,R777932
Q53213,R957082
Q53224,R534127
Q53231,R274230
Q53234,R390542
Q53243,R294740
Q53246,R133622
Q53254,R582368
Q53255,R803103
Q53256,R105130
Q53267,R281119
Q53272,R359992
Q53277,R980183
Q53280,R824094
Q53282,R175637
Q53284,R536951
Q53287,R443727
Q53295,R388956
Q53300,R492418
Q53316,R189397
Q53318,R519797
Q53325,R999626
Q53328,R019469
Q53333,R144712
Q53340,R682689
Q53346,R997485
Q53347,R450773
Q53350,R739079
Q53351,R649768
Q53356,R192995
Q53362,R113248
Q53368,R033756
Q53374,R708649
Q53380,R873679
Q53381,R216179
Q53386,R997449
Q53391,R957278
Q53392,R501707
Q53395,R555959
Q53396,R455372
Q53398,R088921
Q53400,R122216
Q53421,R865944
Q53423,R996211
Q53424,R662072
Q53425,R700429
Q53433,R719066
Q53440,R602594
Q53444,R617769
Q53446,R253027
Q53447,R445475
Q53454,R424042
Q53458,R434781
Q53464,R708812
Q53467,R862635
Q53474,R455363
Q53477,R872319
Q53500,R538713
Q53502,R051326
Q53504,R018459
Q53506,R453626
Q53508,R573046
Q53515,R141600
Q53520,R512805
Q53522,R865666
Q53531,R731500
Q53532,R836360
Q53535,R969643
Q53541,R711490
Q53546,R548661
Q53547,R103680
Q53548,R981094
Q53550,R685514
Q53553,R094426
Q53563,R152741
Q53573,R480138
Q53581,R436489
Q53582,R256338
Q53584,R455425
Q53585,R801305
Q53586,R912676
Q53589,R270149
Q53595,R920606
Q53596,R104211
Q53604,R441036
Q53614,R819238
Q53618,R870176
Q53620,R586123
Q53621,R547607
Q53625,R248362
Q53626,R518372
Q53627,R019102
Q53634,R992209
Q53635,R503415
Q53638,R711538
Q53640,R466357
Q53643,R067723
Q53645,R846466
Q53653,R559216
Q53654,R374828
Q53657,R670031
Q53658,R280680
Q53673,R849788
Q53679,R573783
Q53683,R976705
Q53687,R899686
Q53689,R573993
Q53701,R096252
Q53703,R534623
Q53708,R957184
Q53717,R050483
Q53718,R483057
Q53736,R201716
Q53737,R235095
Q53739,R246546
Q53740,R888340
Q53742,R081216
Q53751,R339788
Q53753,R364122
Q53761,R620965
Q53773,R889939
Q53775,R222881
Q53778,R658675
Q53783,R582645
Q53791,R251553
Q53807,R085890
Q53809,R459409
Q53816,R009200
Q53820,R691366
Q53821,R665404
Q53822,R613477
Q53825,R965601
Q53832,R991410
Q53840,R171453
Q53842,R050973
Q53848,R336917
Q53853,R178483
Q53859,R820100
Q53863,R268175
Q53864,R813944
Q53866,R213659
Q53877,R780530
Q53880,R882294
Q53886,R268140
Q53895,R641543
Q53909,R163208
Q53919,R927358
Q53931,R020786
Q53935,R489712
Q53939,R778725
Q53950,R949097
Q53951,R188707
Q53966,R350175
Q53967,R608721
Q53978,R813358
Q54001,R856312
Q54025,R123499
Q54030,R170096
Q54031,R070972
Q54032,R659965
Q54036,R572051
Q54043,R040053
Q54060,R386279
Q54061,R348574
Q54065,R863406
Q54067,R411724
Q54072,R391925
Q54073,R766166
Q54075,R913271
Q54077,R127859
Q54080,R635061
Q54082,R335470
Q54089,R558657
Q54095,R567731
Q54096,R707470
Q54097,R961280
Q54100,R692429
Q54104,R434235
Q54107,R598025
Q54109,R544761
Q54113,R541270
Q54114,R344108
Q54117,R174504
Q54118,R672240
Q54119,R106599
Q54121,R993796
Q54122,R979255
Q54132,R132822
Q54142,R393736
Q54145,R855386
Q54148,R279472
Q54150,R867032
Q54164,R100490
Q54172,R415722
Q54180,R763400
Q54181,R597404
Q54186,R276606
Q54194,R316765
Q54199,R601408
Q54200,R130246
Q54201,R602204
Q54204,R353220
Q54205,R480151
Q54209,R108650
Q54217,R680743
Q54220,R394558
Q54232,R556401
Q54247,R342489
Q54252,R089725
Q54259,R435921
Q54267,R084428
Q54268,R633723
Q54269,R931411
Q54281,R631877
Q54282,R838239
Q54283,R513790
Q54292,R726711
Q54293,R463365
Q54296,R780533
Q54305,R239878
Q54306,R548715
Q54309,R284183
Q54319,R450133
Q54341,R351778
Q54345,R699112
Q54347,R523659
Q54353,R669118
Q54354,R683142
Q54359,R219411
Q54362,R155513
Q54373,R829947
Q54378,R204913
Q54381,R425276
Q54383,R697376
Q54395,R710026
Q54405,R037570
Q54409,R463728
Q54415,R410112
Q54417,R295474
Q54418,R865376
Q54431,R677642
Q54433,R096478
Q54437,R329988
Q54444,R537066
Q54445,R622451
Q54451,R897616
Q54454,R783529
Q54479,R734875
Q54485,R456960
Q54490,R714365
Q54497,R811878
Q54501,R366764
Q54504,R391670
Q54507,R426212
Q54511,R579481
Q54515,R923777
Q54525,R961924
Q54526,R832453
Q54528,R988075
Q54541,R716732
Q54549,R484760
Q54551,R717971
Q54554,R350596
Q54562,R452756
Q54565,R890477
Q54573,R068622
Q54577,R609953
Q54580,R142699
Q54582,R347549
Q54586,R268941
Q54587,R350751
Q54591,R939370
Q54593,R295959
Q54594,R830442
Q54608,R938673
Q54614,R856070
Q54620,R963743
Q54623,R978996
Q54624,R549331
Q54632,R949491
Q54641,R759240
Q54650,R296442
Q54655,R841218
Q54661,R305559
Q54668,R941453
Q54677,R435672
Q54679,R970075
Q54687,R803601
Q54693,R625296
Q54696,R399904
Q54697,R515577
Q54717,R742444
Q54720,R663538
Q54734,R529231
Q54735,R626919
Q54742,R328881
Q54756,R378246
Q54761,R617365
Q54766,R856078
Q54773,R667673
Q54779,R072025
Q54781,R538586
Q54784,R201982
Q54786,R242573
Q54788,R737236
Q54796,R201917
Q54800,R661048
Q54815,R159583
Q54817,R712153
Q54822,R428221
Q54824,R777905
Q54834,R084918
Q54837,R717414
Q54838,R188802
Q54839,R776505
Q54842,R368449
Q54848,R035897
Q54854,R749006
Q54856,R584121
Q54857,R540686
Q54865,R509677
Q54867,R988845
Q54869,R108428
Q54870,R258559
Q54874,R179534
Q54875,R527179
Q54876,R592393
Q54878,R647916
Q54883,R874459
Q54889,R717194
Q54901,R312198
Q54906,R744718
Q54908,R793512
Q54909,R212987
Q54915,R463704
Q54917,R988396
Q54918,R021474
Q54924,R966593
Q54929,R639720
Q54932,R554401
Q54938,R393272
Q54946,R348493
Q54950,R878321
Q54952,R927077
Q54955,R841962
Q54959,R914224
Q54966,R842462
Q54974,R540609
Q54985,R711645
Q54993,R435499
Q54995,R174432
Q55004,R729252
Q55009,R653833
Q55015,R358325
Q55019,R647835
Q55024,R938422
Q55037,R800670
Q55041,R929774
Q55048,R213205
Q55049,R925780
Q55064,R934176
Q55066,R055200
Q55067,R441120
Q55070,R468449
Q55082,R647247
Q55087,R830883
Q55089,R759532
Q55093,R224358
Q55106,R937259
Q55109,R385455
Q55116,R535592
Q55123,R549440
Q55124,R022477
Q55126,R476268
Q55133,R775998
Q55136,R779050
Q55146,R382936
Q55185,R752868
Q55188,R927942
Q55198,R639929
Q55201,R990356
Q55204,R082470
Q55209,R978104
Q55218,R458094
Q55219,R335302
Q55228,R679070
Q55232,R269977
Q55234,R158532
Q55235,R155383
Q55241,R732257
Q55242,R531930
Q55245,R874942
Q55249,R860189
Q55250,R033315
Q55255,R966784
Q55256,R368540
Q55257,R289181
Q55265,R810456
Q55266,R742551
Q55268,R614580
Q55277,R804012
Q55281,R540719
Q55283,R662709
Q55293,R585121
Q55294,R687019
Q55299,R369155
Q55301,R778790
Q55310,R509497
Q55311,R410957
Q55313,R749647
Q55320,R169375
Q55322,R639826
Q55330,R084707
Q55347,R473120
Q55362,R268476
Q55371,R633631
Q55377,R538717
Q55388,R794618
Q55394,R496215
Q55397,R714391
Q55400,R486937
Q55401,R555828
Q55415,R505523
Q55417,R285429
Q55427,R600472
Q55430,R916926
Q55435,R820258
Q55439,R024203
Q55440,R532582
Q55443,R938172
Q55444,R213573
Q55445,R857801
Q55448,R124590
Q55455,R785604
Q55456,R702241
Q55461,R881746
Q55462,R826504
Q55469,R841413
Q55470,R382167
Q55472,R062304
Q55484,R330809
Q55492,R927274
Q55503,R803223
Q55504,R404916
Q55506,R385964
Q55517,R889718
Q55518,R441625
Q55519,R587831
Q55530,R506121
Q55532,R773962
Q55534,R344997
Q55535,R460217
Q55536,R367378
Q55537,R864646
Q55540,R338669
Q55541,R910442
Q55547,R852291
Q55548,R474990
Q55553,R420070
Q55554,R603373
Q55558,R136270
Q55563,R843959
Q55566,R322677
Q55570,R678891
Q55579,R537256
Q55582,R456379
Q55583,R911805
Q55584,R836769
Q55588,R694833
Q55593,R477507
Q55598,R167589
Q55610,R721341
Q55613,R102020
Q55619,R236856
Q55621,R773928
Q55628,R331784
Q55634,R209167
Q55637,R692157
Q55641,R405643
Q55650,R692894
Q55652,R200267
Q55658,R126470
Q55664,R050299
Q55673,R303994
Q55674,R395269
Q55680,R882909
Q55681,R007393
Q55683,R383284
Q55686,R169676
Q55687,R404108
Q55697,R459926
Q55699,R787176
Q55701,R363334
Q55702,R972177
Q55705,R114235
Q55707,R981385
Q55712,R952880
Q55717,R733491
Q55719,R243067
Q55726,R836458
Q55728,R562413
Q55741,R482146
Q55743,R330642
Q55744,R327974
Q55748,R960575
Q55751,R389113
Q55752,R042169
Q55753,R710283
Q55756,R262656
Q55760,R431042
Q55764,R336581
Q55772,R747423
Q55779,R429855
Q55782,R437899
Q55783,R112883
Q55785,R553652
Q55787,R116379
Q55788,R001619
Q55791,R049934
Q55797,R889848
Q55800,R705723
Q55804,R751916
Q55807,R332672
Q55809,R346356
Q55812,R740831
Q55813,R487020
Q55827,R205771
Q55832,R123569
Q55838,R016982
Q55843,R721753
Q55846,R405503
Q55873,R908058
Q55882,R079614
Q55883,R771149
Q55884,R877975
Q55889,R619354
Q55893,R999818
Q55895,R686382
Q55896,R844696
Q55908,R796246
Q55911,R686740
Q55917,R695267
Q55918,R750122
Q55922,R464279
Q55929,R815245
Q55937,R085889
Q55944,R600277
Q55949,R836196
Q55956,R915248
Q55965,R290910
Q55966,R752125
Q55969,R195526
Q55972,R620993
Q55974,R932078
Q55977,R114104
Q55980,R165177
Q55997,R903175
Q56002,R338372
Q56010,R597316
Q56011,R412483
Q56013,R592647
Q56015,R242761
Q56018,R080464
Q56019,R360560
Q56020,R656810
Q56021,R121013
Q56026,R425549
Q56046,R913463
Q56064,R495891
Q56068,R662632
Q56071,R742441
Q56072,R081122
Q56084,R908161
Q56091,R573107
Q56094,R419168
Q56098,R528443
Q56104,R905248
Q56115,R044128
Q56125,R328625
Q56128,R397963
Q56131,R884156
Q56134,R290319
Q56149,R863907
Q56157,R528422
Q56162,R134187
Q56169,R744951
Q56180,R306187
Q56186,R455662
Q56188,R592979
Q56189,R351424
Q56191,R292062
Q56197,R333586
Q56198,R026459
Q56202,R124678
Q56203,R623076
Q56208,R906351
Q56211,R663189
Q56223,R655070
Q56229,R619154
Q56232,R910989
Q56241,R856630
Q56248,R642500
Q56250,R415039
Q56257,R874454
Q56258,R292733
Q56262,R277866
Q56264,R993682
Q56270,R179280
Q56271,R284565
Q56290,R345736
Q56292,R147422
Q56298,R309599
Q56299,R518510
Q56300,R070412
Q56303,R957817
Q56306,R466231
Q56311,R509307
Q56313,R574423
Q56321,R937106
Q56344,R774894
Q56353,R618971
Q56357,R861006
Q56362,R763775
Q56364,R571839
Q56370,R838882
Q56374,R810932
Q56376,R378071
Q56383,R838611
Q56388,R181275
Q56390,R144947
Q56392,R370495
Q56393,R002067
Q56396,R636350
Q56398,R606930
Q56399,R933201
Q56404,R719898
Q56406,R097611
Q56413,R409193
Q56415,R881043
Q56421,R844907
Q56431,R810023
Q56434,R438173
Q56436,R077588
Q56438,R801894
Q56440,R360266
Q56445,R891810
Q56451,R589084
Q56461,R847936
Q56465,R015775
Q56470,R627804
Q56472,R887885
Q56476,R249245
Q56496,R560035
Q56497,R356383
Q56506,R138553
Q56509,R085952
Q56529,R233632
Q56553,R094169
Q56558,R364939
Q56560,R930492
Q56566,R190530
Q56567,R209509
Q56569,R953018
Q56574,R904238
Q56591,R154677
Q56596,R582987
Q56605,R783391
Q56606,R604176
Q56607,R147899
Q56611,R908238
Q56612,R051887
Q56613,R488455
Q56617,R145875
Q56618,R966599
Q56629,R503251
Q56632,R480160
Q56633,R802687
Q56634,R515865
Q56652,R035954
Q56654,R965117
Q56656,R713726
Q56657,R823698
Q56666,R936697
Q56675,R562084
Q56677,R868923
Q56683,R459698
Q56686,R306578
Q56692,R895345
Q56695,R294161
Q56702,R464302
Q56705,R798370
Q56718,R690797
Q56720,R565709
Q56722,R392937
Q56727,R654833
Q56733,R058407
Q56739,R793541
Q56743,R846776
Q56749,R237297
Q56765,R602146
Q56770,R508862
Q56772,R582984
Q56774,R700575
Q56776,R138432
Q56779,R166502
Q56781,R447397
Q56782,R884954
Q56789,R921634
Q56795,R904532
Q56799,R941417
Q56801,R311604
Q56806,R839959
Q56814,R983566
Q56815,R106152
Q56822,R309857
Q56837,R128602
Q56838,R436832
Q56846,R301748
Q56849,R104660
Q56852,R237826
Q56854,R923580
Q56861,R477630
Q56865,R162298
Q56867,R304239
Q56878,R739071
Q56879,R340276
Q56885,R434250
Q56888,R010019
Q56891,R834468
Q56903,R615552
Q56904,R395984
Q56910,R586995
Q56918,R164865
Q56924,R476939
Q56930,R144398
Q56935,R572943
Q56937,R677488
Q56938,R586213
Q56942,R755968
Q56943,R772270
Q56945,R146808
Q56950,R092314
Q56957,R191357
Q56961,R043675
Q56964,R366372
Q56967,R243042
Q56968,R156445
Q56969,R812278
Q56974,R285120
Q56979,R215109
Q56982,R143650
Q56985,R797552
Q56990,R501960
Q56991,R600319
Q56994,R914903
Q56996,R374496
Q57013,R836378
Q57015,R610223
Q57028,R426244
Q57044,R745520
Q57045,R144744
Q57046,R171550
Q57048,R308689
Q57064,R623007
Q57068,R326963
Q57069,R557391
Q57072,R841669
Q57073,R457056
Q57074,R087176
Q57080,R121993
Q57085,R294092
Q57087,R989862
Q57088,R926440
Q57098,R709940
Q57099,R967232
Q57104,R007288
Q57107,R916910
Q57117,R612831
Q57131,R513734
Q57143,R075275
Q57145,R410501
Q57156,R135096
Q57160,R054834
Q57162,R123916
Q57171,R667927
Q57173,R850640
Q57186,R882840
Q57188,R552184
Q57200,R367907
Q57205,R029999
Q57209,R220703
Q57210,R382368
Q57212,R469706
Q57221,R510583
Q57224,R201297
Q57233,R763922
Q57237,R939270
Q57239,R237510
Q57251,R391034
Q57255,R453930
Q57272,R977388
Q57275,R703979
Q57278,R959006
Q57280,R463962
Q57290,R776060
Q57292,R162980
Q57295,R495867
Q57296,R301227
Q57298,R339964
Q57302,R483293
Q57308,R109677
Q57309,R727570
Q57312,R551360
Q57314,R234144
Q57318,R784970
Q57332,R505050
Q57338,R149181
Q57339,R770843
Q57355,R742675
Q57363,R839332
Q57364,R046070
Q57365,R076286
Q57367,R039480
Q57373,R481055
Q57380,R914054
Q57389,R806442
Q57390,R965977
Q57395,R057395
Q57402,R485287
Q57404,R932821
Q57407,R082278
Q57411,R364550
Q57417,R970508
Q57425,R101927
Q57437,R236567
Q57445,R040337
Q57446,R899152
Q57464,R462447
Q57465,R586081
Q57473,R456555
Q57478,R456881
Q57479,R573460
Q57480,R739357
Q57482,R387544
Q57491,R772631
Q57494,R225129
Q57495,R286159
Q57500,R214504
Q57504,R613837
Q57505,R717223
Q57506,R756842
Q57509,R389856
Q57510,R931869
Q57515,R874954
Q57522,R796935
Q57526,R480705
Q57528,R165993
Q57533,R431386
Q57542,R918739
Q57557,R032197
Q57566,R245939
Q57570,R875229
Q57572,R318253
Q57580,R289160
Q57584,R292513
Q57591,R931435
Q57592,R011064
Q57599,R093694
Q57601,R843695
Q57606,R096933
Q57616,R402764
Q57624,R351178
Q57626,R176618
Q57628,R216787
Q57629,R183645
Q57630,R512551
Q57638,R732449
Q57644,R830467
Q57645,R091988
Q57646,R441627
Q57648,R071705
Q57653,R200014
Q57655,R252856
Q57660,R863359
Q57663,R183463
Q57672,R008009
Q57673,R278051
Q57675,R152612
Q57678,R537959
Q57690,R059993
Q57702,R871964
Q57705,R608531
Q57712,R442661
Q57717,R707045
Q57723,R265302
Q57727,R818095
Q57731,R444493
Q57732,R059954
Q57734,R016498
Q57750,R578837
Q57757,R456616
Q57758,R545441
Q57759,R766991
Q57762,R882162
Q57766,R813911
Q57778,R939614
Q57786,R411069
Q57790,R786256
Q57792,R074381
Q57815,R109258
Q57819,R590770
Q57826,R170537
Q57829,R238562
Q57831,R424294
Q57834,R012628
Q57837,R158664
Q57842,R280960
Q57847,R843990
Q57850,R640955
Q57852,R483913
Q57868,R130758
Q57874,R223061
Q57884,R093524
Q57892,R071575
Q57898,R648464
Q57907,R571897
Q57911,R788560
Q57913,R973272
Q57915,R945695
Q57917,R952257
Q57922,R425761
Q57925,R949331
Q57934,R084003
Q57935,R626789
Q57940,R688495
Q57944,R002101
